2026-01-21T04:07:37.275392+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:07:37.278861+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:07:39.639304+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:07:39.647560+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:07:39.647761+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:07:39.955509+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:07:39.955693+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:07:39.955754+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:07:39.955810+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:07:39.956358+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:07:39.956691+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:07:39.956791+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:07:39.956848+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:07:39.956936+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:07:39.958502+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:08:24.804254+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:08:24.813219+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:08:24.813401+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:08:25.054298+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:08:25.054565+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:08:25.054803+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:08:25.054923+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:08:25.056058+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:08:25.056750+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:08:25.056955+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:08:25.057070+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:08:25.057173+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'Bot' object has no attribute 'start_polling'
2026-01-21T04:08:25.059642+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'Bot' object has no attribute 'start_polling'
2026-01-21T04:09:04.158833+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:09:04.167508+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:09:04.167697+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:09:04.570866+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:09:04.571028+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:09:04.571083+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:09:04.571179+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:09:04.571740+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:09:04.572066+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:09:04.572177+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:09:04.572242+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:09:04.572300+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: At least one bot instance is required to start polling
2026-01-21T04:09:04.573786+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: At least one bot instance is required to start polling
2026-01-21T04:09:21.795263+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:09:21.804387+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:09:21.804548+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:09:21.971975+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:09:21.972276+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:09:21.972431+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:09:21.972559+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:09:21.973836+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:09:21.974501+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:09:21.974767+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:09:21.974920+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:10:06.814866+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:10:06.823630+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:10:06.823852+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
